city,latitude,longitude
Abakumov Mine,47.9947,37.6314
Abrykosivka,46.4891,33.0699
Adamivka,48.943000000000005,37.4481
Agrobaza,47.0979,37.4475
Ahaimany,46.6784,34.2616
Alchevsk,48.4729,38.8027
Alisivka,49.8435,36.422266666666665
Almazna,48.5205,38.5803
Ambarne,50.1093,37.6373
Amvrosiivka,47.7998,38.4874
Anatolivka,46.8103,31.205
Andriivka,48.47470303468208,37.498993786127166
Andriivka-Klevtseve,48.0485,36.5918
Antonivka,47.011498813056384,33.979735905044514
Antratsit,48.115,39.0913
Apostolove,47.66,33.7137
Arkhangelska Sloboda,46.6357,33.7057
Arkhanhelske,48.021261111111116,36.36152962962963
Armyansk,46.1145,33.69
Artemivka,49.9282,37.0805
Artemivsk,48.4386,38.7215
Artilne,50.2449,37.6206
Asiivka,49.3639,36.6842
Askaniia-Nova,46.4508,33.8694
Atynske,51.231100000000005,34.2763
Avdiivka,48.1394,37.7497
Azov,47.4535,37.1149
Azovske,46.7997,36.6802
Babakh-Tarama,46.8954,37.0854
Babyne,47.4024,34.0483
Bachivsk,51.845,34.2775
Bahate,47.5134,36.0811
Bahatyr,47.9931,36.9391
Baherovo,45.3763,36.2912
Bairak,48.72386666666667,37.8202
Bakhchysarai,44.7507,33.8642
Bakhmut,48.5956,37.9999
Bakhmutivka,48.8703,39.0497
Bakhmutske,48.6642,38.0949
Baksheivka,50.2044,37.2113
Balabyne,47.7421,35.2202
Balaklava,44.5116,33.5993
Balakliia,49.4606,36.8527
Balka Zhuravka,49.15809999999999,37.9749
Banivka,46.7499,36.3761
Barabashivka,49.1168,37.0548
Baranivka,48.86208157894737,37.06019473684211
Barvinkove,49.11777777777778,36.77634444444445
Barvinok,46.8085,32.4529
Barylo,51.0649,34.4558
Basan,47.3773,36.1811
Bashtanka,47.4072,32.4387
Basivka,51.1856,35.0877
Basove,50.3944,35.8948
Bayrak,50.0434,36.4369
Bazaliyivka,49.8278,36.991
Bekarivka,47.859,35.4265
Bekhtery,46.2465,32.2925
Belbek Airfield,44.691500000000005,33.5758
Berdiansk,46.7586,36.7845
Berdyanske,47.0896,37.784
Berdychi,48.1936,37.6405
Berehove,46.57149999999999,32.4135
Berestky,48.0116,37.2603
Berestok,48.4771,37.6965
Berestove,49.47673613861386,37.99189034653465
Berezan,46.5676,30.4295
Berezivka,48.356271428571425,37.037021428571435
Bereznehuvate,47.3078,32.8499
Bereznyky,50.2675,37.5896
Berezove,47.8077375,37.172475
Berkhivka,48.6469,37.9664
Berylivka,52.075,31.7399
Beryslav,46.8415,33.4284
Betmanove,48.1932,37.9169
Bezdryk,50.8666,34.948
Bezimenne,47.10248571428571,33.574976190476185
Bezmyatezhne,49.5642,37.2415
Bezruky,50.176,36.1205
Bezsalivka,51.2644,34.3925
Bezvodne,47.1722,33.2834
Bila Bereza,51.7339,34.3415
Bila Hora,48.49453555555556,37.88786666666667
Bila Krynytsia,47.308659090909096,33.172436363636365
Bila Tserkva,49.8094,30.1121
Bile,49.4857,37.5683
Bilenke,47.1036,33.477266666666665
Biliaivka,47.3269,33.6915
Bilmak,47.358,36.6491
Bilohiria,47.5268,36.0004
Bilohirka,47.1988,33.1371
Bilohirsk,45.0557,34.6049
Bilohorivka,48.853525,38.234962499999995
Bilohrudove,46.5506,32.5204
Bilokopytove,51.6677,34.0631
Bilokurakyne,49.5341,38.7307
Bilokuzmynivka,48.651599999999995,37.6775
Bilopillia,51.1483,34.3008
Bilousove,47.32320000000001,33.2324
Bilovodsk,49.2054,39.5828
Bilovody,51.1757,34.9765
Bilozerka,46.6248,32.4425
Bilozirka,47.0864,32.452
Bilyi Kolodiaz,50.2049,37.1118
Bilytske,48.4082,37.1795
Blahodarivka,46.969,31.7148
Blahodativka,47.51116,33.614113333333336
Blahodatne,47.794516883116884,36.29085454545455
Blahovischenka,47.4809,35.05499090909091
Blahovishchenske,46.6243,32.4727
Blakytne,47.565799999999996,34.54975
Bobrove,48.8055,38.6442
Bochkove,50.324400000000004,37.1409
Bohatyr,46.6267,35.2791
Bohdanivka,48.5308010230179,37.731364450127884
Bohdanivske,49.8893,37.8254
Bohdanivtsi,49.3767,27.1432
Bohodukhiv,50.1647,35.5277
Bohoiavlenka,47.8601,37.2135
Bohorodychne,49.0161,37.5083
Bohuslavka,49.4739,37.6837
Bokove,48.5218,37.0298
Boldyrivka,49.6325,37.5774
Bolohivka,50.0554,37.805
Bondarivshchyna,51.1538,34.5844
Bondarne,48.744,37.9277
Borivska Andriivka,49.411300000000004,37.7301
